id,prenom,nom,sexe,age,telephone,email,adresse,region,departement,groupe_sanguin,profession,date_dernier_don,frequence_annuelle,statut_actif
DON-81482,Mamadou,Sane,M,26,+221 77 807 86 73,mamadou.sane@example.sn,"Quartier Escale, Kaolack",Kaolack,Kaolack,O+,Etudiant,2024-03-13,0,False
DON-81426,Babacar,Niang,M,36,+221 76 469 83 79,babacar.niang@example.sn,"Quartier Plateau, Tambacounda",Tambacounda,Tambacounda,O+,Chauffeur,2024-02-16,0,False
DON-23396,Demba,Thiam,M,25,+221 77 737 41 22,demba.thiam@example.sn,"Quartier Escale, Koungheul",Kaffrine,Koungheul,O+,Comptable,2025-02-24,1,False
DON-82357,Aminata,Sane,F,24,+221 70 706 72 28,aminata.sane@example.sn,"Quartier Diamaguène, Goudomp",Sédhiou,Goudomp,O+,Informaticien,2025-11-15,1,True
DON-59823,Daouda,Sy,M,59,+221 70 860 69 62,daouda.sy@example.sn,"Quartier HLM, Dagana",Saint-Louis,Dagana,O+,Fonctionnaire,2025-10-23,3,True
DON-93227,Mame,Dia,F,54,+221 78 996 13 80,mame.dia@example.sn,"Quartier Médina, Nioro du Rip",Kaolack,Nioro du Rip,O+,Fonctionnaire,2024-05-21,1,False
DON-40021,Coumba,Diagne,F,36,+221 77 629 24 23,coumba.diagne@example.sn,"Quartier Plateau, Saraya",Kédougou,Saraya,O+,Chauffeur,2025-12-08,1,True
DON-70142,Abdou,Wade,M,26,+221 78 544 39 51,abdou.wade@example.sn,"Quartier Médina, Kanel",Matam,Kanel,B+,Infirmier,2024-04-16,2,False
DON-76784,Nafi,Seck,F,31,+221 76 252 52 06,nafi.seck@example.sn,"Quartier Escale, Vélingara",Kolda,Vélingara,A+,Mécanicien,2025-09-15,2,True
DON-79352,Daouda,Thiam,M,30,+221 70 119 26 19,daouda.thiam@example.sn,"Quartier Escale, Tambacounda",Tambacounda,Tambacounda,AB-,Architecte,2024-10-12,1,False
